Sepal.Length,Sepal.Width,Petal.Length,Petal.Width,Species,amostra,lat,lon,date,site
5.1,3.5,1.4,0.3,Iris setosa,A18,48.935966,-64.840984,1929-12-01,Site1
5.4,3.4,1.7,0.2,Iris setosa,A21,48.935966,-64.840984,1929-12-01,Site1
5.1,3.3,1.7,0.5,Iris setosa,A24,48.935966,-64.840984,1929-12-01,Site1
5,3.4,1.6,0.4,Iris setosa,A27,48.935966,-64.840984,1929-12-01,Site1
4.7,3.2,1.6,0.2,Iris setosa,A30,48.935966,-64.840984,1929-12-01,Site1
5.2,4.1,1.5,0.1,Iris setosa,A33,48.935966,-64.840984,1929-12-01,Site1
5,3.2,1.2,0.2,Iris setosa,A36,48.935966,-64.840984,1929-12-01,Site1
4.4,3,1.3,0.2,Iris setosa,A39,48.935966,-64.840984,1929-12-01,Site1
4.5,2.3,1.3,0.3,Iris setosa,A42,48.935966,-64.840984,1929-12-01,Site1
5.1,3.8,1.9,0.4,Iris setosa,A45,48.935966,-64.840984,1929-12-01,Site1
4.6,3.2,1.4,0.2,Iris setosa,A48,48.935966,-64.840984,1929-12-01,Site1
7,3.2,4.7,1.4,Iris versicolor,A51,48.935966,-64.840984,1929-12-01,Site1
5.5,2.3,4,1.3,Iris versicolor,A54,48.935966,-64.840984,1929-12-01,Site1
6.3,3.3,4.7,1.6,Iris versicolor,A57,48.935966,-64.840984,1929-12-01,Site1
5.2,2.7,3.9,1.4,Iris versicolor,A60,48.935966,-64.840984,1929-12-01,Site1
6,2.2,4,1,Iris versicolor,A63,48.935966,-64.840984,1929-12-01,Site1
6.7,3.1,4.4,1.4,Iris versicolor,A66,48.935966,-64.840984,1929-12-01,Site1
6.2,2.2,4.5,1.5,Iris versicolor,A69,48.935966,-64.840984,1929-12-01,Site1
6.1,2.8,4,1.3,Iris versicolor,A72,48.935966,-64.840984,1929-12-01,Site1
6.4,2.9,4.3,1.3,Iris versicolor,A75,48.935966,-64.840984,1929-12-01,Site1
6.7,3,5,1.7,Iris versicolor,A78,48.935966,-64.840984,1929-12-01,Site1
5.5,2.4,3.8,1.1,Iris versicolor,A81,48.935966,-64.840984,1929-12-01,Site1
6,2.7,5.1,1.6,Iris versicolor,A84,48.935966,-64.840984,1929-12-01,Site1
6.7,3.1,4.7,1.5,Iris versicolor,A87,48.935966,-64.840984,1929-12-01,Site1
5.5,2.5,4,1.3,Iris versicolor,A90,48.935966,-64.840984,1929-12-01,Site1
5.8,2.6,4,1.2,Iris versicolor,A93,48.935966,-64.840984,1929-12-01,Site1
5.7,3,4.2,1.2,Iris versicolor,A96,48.935966,-64.840984,1929-12-01,Site1
5.1,2.5,3,1.1,Iris versicolor,A99,48.935966,-64.840984,1929-12-01,Site1
5.8,2.7,5.1,1.9,Iris virginica,A102,48.935966,-64.840984,1929-12-01,Site1
6.5,3,5.8,2.2,Iris virginica,A105,48.935966,-64.840984,1929-12-01,Site1
7.3,2.9,6.3,1.8,Iris virginica,A108,48.935966,-64.840984,1929-12-01,Site1
6.5,3.2,5.1,2,Iris virginica,A111,48.935966,-64.840984,1929-12-01,Site1
5.7,2.5,5,2,Iris virginica,A114,48.935966,-64.840984,1929-12-01,Site1
6.5,3,5.5,1.8,Iris virginica,A117,48.935966,-64.840984,1929-12-01,Site1
6,2.2,5,1.5,Iris virginica,A120,48.935966,-64.840984,1929-12-01,Site1
7.7,2.8,6.7,2,Iris virginica,A123,48.935966,-64.840984,1929-12-01,Site1
7.2,3.2,6,1.8,Iris virginica,A126,48.935966,-64.840984,1929-12-01,Site1
6.4,2.8,5.6,2.1,Iris virginica,A129,48.935966,-64.840984,1929-12-01,Site1
7.9,3.8,6.4,2,Iris virginica,A132,48.935966,-64.840984,1929-12-01,Site1
6.1,2.6,5.6,1.4,Iris virginica,A135,48.935966,-64.840984,1929-12-01,Site1
6.4,3.1,5.5,1.8,Iris virginica,A138,48.935966,-64.840984,1929-12-01,Site1
6.7,3.1,5.6,2.4,Iris virginica,A141,48.935966,-64.840984,1929-12-01,Site1
6.8,3.2,5.9,2.3,Iris virginica,A144,48.935966,-64.840984,1929-12-01,Site1
6.3,2.5,5,1.9,Iris virginica,A147,48.935966,-64.840984,1929-12-01,Site1
5.9,3,5.1,1.8,Iris virginica,A150,48.935966,-64.840984,1929-12-01,Site1
4.7,3.2,1.3,0.2,Iris setosa,A3,48.935966,-64.840984,1929-12-01,Site1
5.4,3.9,1.7,0.4,Iris setosa,A6,48.935966,-64.840984,1929-12-01,Site1
4.4,2.9,1.4,0.2,Iris setosa,A9,48.935966,-64.840984,1929-12-01,Site1
4.8,3.4,1.6,0.2,Iris setosa,A12,48.935966,-64.840984,1929-12-01,Site1
5.8,4,1.2,0.2,Iris setosa,A15,48.935966,-64.840984,1929-12-01,Site1
5.4,3.9,1.3,0.4,Iris setosa,A17,48.540502,-64.766512,1930-02-13,Site2
5.1,3.8,1.5,0.3,Iris setosa,A20,48.540502,-64.766512,1930-02-13,Site2
4.6,3.6,1,0.2,Iris setosa,A23,48.540502,-64.766512,1930-02-13,Site2
5,3,1.6,0.2,Iris setosa,A26,48.540502,-64.766512,1930-02-13,Site2
5.2,3.4,1.4,0.2,Iris setosa,A29,48.540502,-64.766512,1930-02-13,Site2
5.4,3.4,1.5,0.4,Iris setosa,A32,48.540502,-64.766512,1930-02-13,Site2
4.9,3.1,1.5,0.2,Iris setosa,A35,48.540502,-64.766512,1930-02-13,Site2
4.9,3.6,1.4,0.1,Iris setosa,A38,48.540502,-64.766512,1930-02-13,Site2
5,3.5,1.3,0.3,Iris setosa,A41,48.540502,-64.766512,1930-02-13,Site2
5,3.5,1.6,0.6,Iris setosa,A44,48.540502,-64.766512,1930-02-13,Site2
5.1,3.8,1.6,0.2,Iris setosa,A47,48.540502,-64.766512,1930-02-13,Site2
5,3.3,1.4,0.2,Iris setosa,A50,48.540502,-64.766512,1930-02-13,Site2
6.9,3.1,4.9,1.5,Iris versicolor,A53,48.540502,-64.766512,1930-02-13,Site2
5.7,2.8,4.5,1.3,Iris versicolor,A56,48.540502,-64.766512,1930-02-13,Site2
6.6,2.9,4.6,1.3,Iris versicolor,A59,48.540502,-64.766512,1930-02-13,Site2
5.9,3,4.2,1.5,Iris versicolor,A62,48.540502,-64.766512,1930-02-13,Site2
5.6,2.9,3.6,1.3,Iris versicolor,A65,48.540502,-64.766512,1930-02-13,Site2
5.8,2.7,4.1,1,Iris versicolor,A68,48.540502,-64.766512,1930-02-13,Site2
5.9,3.2,4.8,1.8,Iris versicolor,A71,48.540502,-64.766512,1930-02-13,Site2
6.1,2.8,4.7,1.2,Iris versicolor,A74,48.540502,-64.766512,1930-02-13,Site2
6.8,2.8,4.8,1.4,Iris versicolor,A77,48.540502,-64.766512,1930-02-13,Site2
5.7,2.6,3.5,1,Iris versicolor,A80,48.540502,-64.766512,1930-02-13,Site2
5.8,2.7,3.9,1.2,Iris versicolor,A83,48.540502,-64.766512,1930-02-13,Site2
6,3.4,4.5,1.6,Iris versicolor,A86,48.540502,-64.766512,1930-02-13,Site2
5.6,3,4.1,1.3,Iris versicolor,A89,48.540502,-64.766512,1930-02-13,Site2
6.1,3,4.6,1.4,Iris versicolor,A92,48.540502,-64.766512,1930-02-13,Site2
5.6,2.7,4.2,1.3,Iris versicolor,A95,48.540502,-64.766512,1930-02-13,Site2
6.2,2.9,4.3,1.3,Iris versicolor,A98,48.540502,-64.766512,1930-02-13,Site2
6.3,3.3,6,2.5,Iris virginica,A101,48.540502,-64.766512,1930-02-13,Site2
6.3,2.9,5.6,1.8,Iris virginica,A104,48.540502,-64.766512,1930-02-13,Site2
4.9,2.5,4.5,1.7,Iris virginica,A107,48.540502,-64.766512,1930-02-13,Site2
7.2,3.6,6.1,2.5,Iris virginica,A110,48.540502,-64.766512,1930-02-13,Site2
6.8,3,5.5,2.1,Iris virginica,A113,48.540502,-64.766512,1930-02-13,Site2
6.4,3.2,5.3,2.3,Iris virginica,A116,48.540502,-64.766512,1930-02-13,Site2
7.7,2.6,6.9,2.3,Iris virginica,A119,48.540502,-64.766512,1930-02-13,Site2
5.6,2.8,4.9,2,Iris virginica,A122,48.540502,-64.766512,1930-02-13,Site2
6.7,3.3,5.7,2.1,Iris virginica,A125,48.540502,-64.766512,1930-02-13,Site2
6.1,3,4.9,1.8,Iris virginica,A128,48.540502,-64.766512,1930-02-13,Site2
7.4,2.8,6.1,1.9,Iris virginica,A131,48.540502,-64.766512,1930-02-13,Site2
6.3,2.8,5.1,1.5,Iris virginica,A134,48.540502,-64.766512,1930-02-13,Site2
6.3,3.4,5.6,2.4,Iris virginica,A137,48.540502,-64.766512,1930-02-13,Site2
6.9,3.1,5.4,2.1,Iris virginica,A140,48.540502,-64.766512,1930-02-13,Site2
5.8,2.7,5.1,1.9,Iris virginica,A143,48.540502,-64.766512,1930-02-13,Site2
6.7,3,5.2,2.3,Iris virginica,A146,48.540502,-64.766512,1930-02-13,Site2
6.2,3.4,5.4,2.3,Iris virginica,A149,48.540502,-64.766512,1930-02-13,Site2
4.9,3,1.4,0.2,Iris setosa,A2,48.540502,-64.766512,1930-02-13,Site2
5,3.6,1.4,0.2,Iris setosa,A5,48.540502,-64.766512,1930-02-13,Site2
5,3.4,1.5,0.2,Iris setosa,A8,48.540502,-64.766512,1930-02-13,Site2
5.4,3.7,1.5,0.2,Iris setosa,A11,48.540502,-64.766512,1930-02-13,Site2
4.3,3,1.1,0.1,Iris setosa,A14,48.540502,-64.766512,1930-02-13,Site2
5.7,3.8,1.7,0.3,Iris setosa,A19,48.329837,-65.512333,1929-12-01,Site3
5.1,3.7,1.5,0.4,Iris setosa,A22,48.329837,-65.512333,1929-12-01,Site3
4.8,3.4,1.9,0.2,Iris setosa,A25,48.329837,-65.512333,1929-12-01,Site3
5.2,3.5,1.5,0.2,Iris setosa,A28,48.329837,-65.512333,1929-12-01,Site3
4.8,3.1,1.6,0.2,Iris setosa,A31,48.329837,-65.512333,1929-12-01,Site3
5.5,4.2,1.4,0.2,Iris setosa,A34,48.329837,-65.512333,1929-12-01,Site3
5.5,3.5,1.3,0.2,Iris setosa,A37,48.329837,-65.512333,1929-12-01,Site3
5.1,3.4,1.5,0.2,Iris setosa,A40,48.329837,-65.512333,1929-12-01,Site3
4.4,3.2,1.3,0.2,Iris setosa,A43,48.329837,-65.512333,1929-12-01,Site3
4.8,3,1.4,0.3,Iris setosa,A46,48.329837,-65.512333,1929-12-01,Site3
5.3,3.7,1.5,0.2,Iris setosa,A49,48.329837,-65.512333,1929-12-01,Site3
6.4,3.2,4.5,1.5,Iris versicolor,A52,48.329837,-65.512333,1929-12-01,Site3
6.5,2.8,4.6,1.5,Iris versicolor,A55,48.329837,-65.512333,1929-12-01,Site3
4.9,2.4,3.3,1,Iris versicolor,A58,48.329837,-65.512333,1929-12-01,Site3
5,2,3.5,1,Iris versicolor,A61,48.329837,-65.512333,1929-12-01,Site3
6.1,2.9,4.7,1.4,Iris versicolor,A64,48.329837,-65.512333,1929-12-01,Site3
5.6,3,4.5,1.5,Iris versicolor,A67,48.329837,-65.512333,1929-12-01,Site3
5.6,2.5,3.9,1.1,Iris versicolor,A70,48.329837,-65.512333,1929-12-01,Site3
6.3,2.5,4.9,1.5,Iris versicolor,A73,48.329837,-65.512333,1929-12-01,Site3
6.6,3,4.4,1.4,Iris versicolor,A76,48.329837,-65.512333,1929-12-01,Site3
6,2.9,4.5,1.5,Iris versicolor,A79,48.329837,-65.512333,1929-12-01,Site3
5.5,2.4,3.7,1,Iris versicolor,A82,48.329837,-65.512333,1929-12-01,Site3
5.4,3,4.5,1.5,Iris versicolor,A85,48.329837,-65.512333,1929-12-01,Site3
6.3,2.3,4.4,1.3,Iris versicolor,A88,48.329837,-65.512333,1929-12-01,Site3
5.5,2.6,4.4,1.2,Iris versicolor,A91,48.329837,-65.512333,1929-12-01,Site3
5,2.3,3.3,1,Iris versicolor,A94,48.329837,-65.512333,1929-12-01,Site3
5.7,2.9,4.2,1.3,Iris versicolor,A97,48.329837,-65.512333,1929-12-01,Site3
5.7,2.8,4.1,1.3,Iris versicolor,A100,48.329837,-65.512333,1929-12-01,Site3
7.1,3,5.9,2.1,Iris virginica,A103,48.329837,-65.512333,1929-12-01,Site3
7.6,3,6.6,2.1,Iris virginica,A106,48.329837,-65.512333,1929-12-01,Site3
6.7,2.5,5.8,1.8,Iris virginica,A109,48.329837,-65.512333,1929-12-01,Site3
6.4,2.7,5.3,1.9,Iris virginica,A112,48.329837,-65.512333,1929-12-01,Site3
5.8,2.8,5.1,2.4,Iris virginica,A115,48.329837,-65.512333,1929-12-01,Site3
7.7,3.8,6.7,2.2,Iris virginica,A118,48.329837,-65.512333,1929-12-01,Site3
6.9,3.2,5.7,2.3,Iris virginica,A121,48.329837,-65.512333,1929-12-01,Site3
6.3,2.7,4.9,1.8,Iris virginica,A124,48.329837,-65.512333,1929-12-01,Site3
6.2,2.8,4.8,1.8,Iris virginica,A127,48.329837,-65.512333,1929-12-01,Site3
7.2,3,5.8,1.6,Iris virginica,A130,48.329837,-65.512333,1929-12-01,Site3
6.4,2.8,5.6,2.2,Iris virginica,A133,48.329837,-65.512333,1929-12-01,Site3
7.7,3,6.1,2.3,Iris virginica,A136,48.329837,-65.512333,1929-12-01,Site3
6,3,4.8,1.8,Iris virginica,A139,48.329837,-65.512333,1929-12-01,Site3
6.9,3.1,5.1,2.3,Iris virginica,A142,48.329837,-65.512333,1929-12-01,Site3
6.7,3.3,5.7,2.5,Iris virginica,A145,48.329837,-65.512333,1929-12-01,Site3
6.5,3,5.2,2,Iris virginica,A148,48.329837,-65.512333,1929-12-01,Site3
5.1,3.5,1.4,0.2,Iris setosa,A1,48.329837,-65.512333,1929-12-01,Site3
4.6,3.1,1.5,0.2,Iris setosa,A4,48.329837,-65.512333,1929-12-01,Site3
4.6,3.4,1.4,0.3,Iris setosa,A7,48.329837,-65.512333,1929-12-01,Site3
4.9,3.1,1.5,0.1,Iris setosa,A10,48.329837,-65.512333,1929-12-01,Site3
4.8,3,1.4,0.1,Iris setosa,A13,48.329837,-65.512333,1929-12-01,Site3
5.7,4.4,1.5,0.4,Iris setosa,A16,48.329837,-65.512333,1929-12-01,Site3